hello (formal), 안녕하세요
beer, 맥주
printer, 복사기
camera, 카메라
phone, 핸드폰
dictionary, 사전
blackboard, 칠판
this, 이게
that, 저게
two things, 두개
actor, 배우
office worker, 회사원
korean-american, 한국계미국
mexico, 멕시코
canada, 캐나다
vietnam, 베트남
thailand, 태국
my (humble), 제
my (regular), 내
notebook, 공책
eraser, 지우개
lemon tea, 레몬차

